Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,NYY,Batting 4th,2007,189,176.2,162,744,609,149,193,33,0,55,160,24,4,104,129,.317,.427,.642,1.069,391,15,21,0,10,11,5,.317,155,149
2,,HOU,Batting 4th,2008,191,157.9,161,693,601,108,203,39,4,39,128,13,3,79,106,.338,.416,.611,1.027,367,8,6,1,6,17,2,.355,176,143
3,,DET,Batting 4th,2011,178,152.5,162,707,588,114,202,47,0,31,111,2,1,111,93,.344,.447,.582,1.029,342,23,3,0,5,23,6,.365,166,160
4,,DET,Batting 4th,2010,181,151.1,162,715,609,118,199,46,2,41,137,3,3,92,112,.327,.412,.611,1.023,372,18,3,2,9,32,6,.340,170,152
5,,MIL,Batting 4th,2009,166,150.2,162,720,592,103,177,35,3,46,141,3,3,110,139,.299,.411,.601,1.012,356,14,9,0,9,21,6,.315,162,145
6,,DET,Batting 4th,2007,185,150.1,162,727,641,122,226,55,0,28,145,4,2,78,92,.353,.421,.569,.991,365,23,2,0,5,10,3,.376,146,132
7,,PHI,Batting 4th,2006,230,147.0,162,740,599,111,172,32,0,44,144,0,0,128,183,.287,.418,.561,.979,336,12,9,0,4,29,5,.340,146,124
8,,BOS,Batting 4th,2006,208,146.7,162,728,601,105,185,35,2,39,123,0,1,115,136,.308,.416,.567,.984,341,15,3,0,9,16,7,.336,149,125
9,,DET,Batting 4th,2014,174,144.7,162,702,613,99,207,37,1,37,115,3,1,77,56,.338,.412,.582,.994,357,18,5,0,7,28,8,.323,161,163
10,,COL,Batting 4th,2013,181,142.0,162,701,634,103,215,44,0,32,128,10,3,56,134,.339,.392,.560,.952,355,9,4,0,7,4,1,.385,155,140
11,,NYM,Batting 4th,2006,176,140.7,162,717,614,113,184,40,3,42,133,8,2,82,125,.300,.386,.580,.966,356,14,11,0,10,12,3,.311,146,120
12,,TEX,Batting 4th,2008,200,140.7,162,736,611,112,189,46,4,27,104,8,4,104,150,.309,.416,.530,.947,324,13,13,0,7,17,7,.367,132,126
13,,CHW,Batting 4th,2006,201,140.1,162,718,616,117,194,37,1,40,130,3,1,85,131,.315,.398,.573,.971,353,22,7,0,10,5,4,.338,140,121
14,,MIL,Batting 4th,2007,193,138.4,162,706,604,112,172,35,4,47,117,3,5,88,135,.285,.382,.589,.972,356,8,10,0,4,19,4,.293,145,126
15,,BOS,Batting 4th,2008,206,138.0,162,737,627,115,190,47,2,33,124,5,3,91,140,.303,.402,.542,.944,340,17,15,0,4,14,8,.343,134,125
16,,CHW,Batting 4th,2010,181,137.7,162,697,609,100,189,34,1,43,120,0,3,75,125,.310,.389,.581,.970,354,13,7,0,6,8,8,.327,156,139
17,,CLE,Batting 4th,2006,170,137.6,162,718,615,112,196,35,1,34,131,0,0,92,122,.319,.411,.545,.956,335,21,7,0,3,9,2,.351,137,119
18,,PHI,Batting 4th,2007,173,137.5,162,749,616,107,163,30,1,51,148,3,0,117,216,.265,.385,.565,.949,348,15,8,0,8,34,7,.314,132,122
19,,MIL,Batting 4th,2011,181,134.0,162,698,575,96,170,36,1,38,120,1,1,107,106,.296,.411,.560,.971,322,17,10,0,6,32,6,.302,158,145
20,,NYM,Batting 4th,2008,168,133.7,162,732,629,119,182,44,4,36,128,20,3,94,108,.289,.381,.544,.925,342,16,3,0,6,17,7,.297,142,119
21,,COL,Batting 4th,2006,179,131.8,162,717,637,126,207,47,3,30,104,8,5,63,111,.325,.396,.549,.946,350,27,14,0,3,3,8,.355,143,116
22,,WSN,Batting 4th,2009,225,131.3,162,711,584,97,157,32,0,42,115,2,2,120,181,.269,.395,.539,.934,315,8,3,1,2,17,2,.317,150,127
23,,ATL,Batting 4th,2011,173,130.8,162,704,613,92,187,27,1,37,102,3,2,82,146,.305,.389,.533,.923,327,9,5,0,4,12,5,.346,164,132
24,,COL,Batting 4th,2007,191,130.1,163,739,608,96,190,43,2,19,98,0,1,120,83,.313,.424,.484,.907,294,17,3,0,8,16,6,.333,131,116
25,,SFG,Batting 4th,2012,220,129.9,162,710,616,99,196,45,3,27,118,3,1,82,118,.318,.394,.532,.927,328,19,2,0,10,7,7,.351,155,128
26,,TEX,Batting 4th,2012,177,129.7,162,704,648,104,208,39,2,36,105,1,0,41,88,.321,.361,.554,.915,359,10,5,0,10,9,8,.322,132,123
27,,NYY,Batting 4th,2009,191,129.3,162,732,617,103,177,28,2,35,127,15,2,101,131,.287,.393,.509,.902,314,16,10,0,4,8,3,.312,115,120
28,,ARI,Batting 4th,2015,192,128.9,162,717,654,83,211,38,11,26,111,9,3,52,142,.323,.372,.534,.906,349,15,4,0,7,3,9,.375,144,127
